STATION_SEQ,STATION_ID,EASTING,NORTHING,WATER_ELEV,MEASUREMENT_DATE,MYEAR,REFERENCE_ELEVATION_CODE,REFERENCE_ELEVATION,DEPTH_TO_WATER
1013115,FSB121C,436176.21,3681346.43,205.43000000000001,1993-11-16,1993,S,256.60000000000002,51.170000000000002
1013115,FSB121C,436176.21,3681346.43,203.02000000000004,1994-12-21,1994,S,256.60000000000002,53.579999999999998
1013115,FSB121C,436176.21,3681346.43,204.64000000000001,1991-10-21,1991,S,256.60000000000002,51.960000000000001
1013115,FSB121C,436176.21,3681346.43,204.69000000000003,1995-06-15,1995,S,256.60000000000002,51.909999999999997
1013115,FSB121C,436176.21,3681346.43,204.61000000000001,1995-04-04,1995,S,256.60000000000002,51.990000000000002
1013115,FSB121C,436176.21,3681346.43,206.95000000000002,1993-06-19,1993,S,256.60000000000002,49.649999999999999
1013115,FSB121C,436176.21,3681346.43,206.77000000000004,1993-05-09,1993,S,256.60000000000002,49.829999999999998
1013115,FSB121C,436176.21,3681346.43,205.44000000000003,1993-02-24,1993,S,256.60000000000002,51.159999999999997
1013115,FSB121C,436176.21,3681346.43,205.57000000000002,1992-04-26,1992,S,256.60000000000002,51.030000000000001
1013115,FSB121C,436176.21,3681346.43,204.79000000000002,1992-11-19,1992,S,256.60000000000002,51.810000000000002
1013115,FSB121C,436176.21,3681346.43,206.19000000000003,1993-03-27,1993,S,256.60000000000002,50.409999999999997
1013115,FSB121C,436176.21,3681346.43,203.27000000000004,1999-06-25,1999,S,256.60000000000002,53.329999999999998
1013115,FSB121C,436176.21,3681346.43,204.98000000000002,1998-12-21,1998,S,256.60000000000002,51.619999999999997
1013115,FSB121C,436176.21,3681346.43,202.30000000000001,1997-06-18,1997,S,256.60000000000002,54.299999999999997
1013115,FSB121C,436176.21,3681346.43,203.40000000000003,1996-10-09,1996,S,256.60000000000002,53.200000000000003
1013115,FSB121C,436176.21,3681346.43,200.36000000000001,2000-06-23,2000,S,256.60000000000002,56.240000000000002
1013115,FSB121C,436176.21,3681346.43,204.20000000000002,1999-03-23,1999,S,256.60000000000002,52.399999999999999
1013115,FSB121C,436176.21,3681346.43,202.15000000000003,1998-01-09,1998,S,256.60000000000002,54.450000000000003
1013115,FSB121C,436176.21,3681346.43,201.45000000000002,2005-04-04,2005,S,256.60000000000002,55.149999999999999
1013115,FSB121C,436176.21,3681346.43,197.43000000000001,2002-07-17,2002,S,256.60000000000002,59.170000000000002
1013115,FSB121C,436176.21,3681346.43,201.60000000000002,2005-04-14,2005,S,256.60000000000002,55
1013115,FSB121C,436176.21,3681346.43,201.15000000000003,2003-10-15,2003,S,256.60000000000002,55.450000000000003
1013115,FSB121C,436176.21,3681346.43,201.48000000000002,2005-01-03,2005,S,256.60000000000002,55.119999999999997
1013115,FSB121C,436176.21,3681346.43,199.92000000000002,2003-07-19,2003,S,256.60000000000002,56.68
1013115,FSB121C,436176.21,3681346.43,202.23000000000002,2005-07-01,2005,S,256.60000000000002,54.369999999999997
1013115,FSB121C,436176.21,3681346.43,202.15000000000003,2006-04-24,2006,S,256.60000000000002,54.450000000000003
1013115,FSB121C,436176.21,3681346.43,198.20000000000002,2001-11-28,2001,S,256.60000000000002,58.399999999999999
1013115,FSB121C,436176.21,3681346.43,202.00000000000003,2004-07-23,2004,S,256.60000000000002,54.600000000000001
1013115,FSB121C,436176.21,3681346.43,201.25000000000003,2004-01-05,2004,S,256.60000000000002,55.350000000000001
1013115,FSB121C,436176.21,3681346.43,198.37000000000003,2001-10-03,2001,S,256.60000000000002,58.229999999999997
1013115,FSB121C,436176.21,3681346.43,200.50000000000003,2000-03-15,2000,S,256.60000000000002,56.100000000000001
1013115,FSB121C,436176.21,3681346.43,200.31000000000003,2000-04-06,2000,S,256.60000000000002,56.289999999999999
1013115,FSB121C,436176.21,3681346.43,199.30000000000001,2000-10-05,2000,S,256.60000000000002,57.299999999999997
1013115,FSB121C,436176.21,3681346.43,198.79000000000002,2001-03-22,2001,S,256.60000000000002,57.810000000000002
1013115,FSB121C,436176.21,3681346.43,201.60000000000002,2004-10-06,2004,S,256.60000000000002,55
1013115,FSB121C,436176.21,3681346.43,202.50000000000003,2005-08-04,2005,S,256.60000000000002,54.100000000000001
1013115,FSB121C,436176.21,3681346.43,201.25000000000003,2004-02-05,2004,S,256.60000000000002,55.350000000000001
1013115,FSB121C,436176.21,3681346.43,201.78000000000003,2004-10-14,2004,S,256.60000000000002,54.82
1013115,FSB121C,436176.21,3681346.43,197.10000000000002,2003-04-01,2003,S,256.60000000000002,59.5
1013115,FSB121C,436176.21,3681346.43,201.70000000000002,2004-04-01,2004,S,256.60000000000002,54.899999999999999
