STATION_SEQ,STATION_ID,EASTING,NORTHING,LATITUDE,LONGITUDE,ANALYSIS_DATE,COLLECTION_DATE,MDATE,MYEAR,ANALYTE_NAME,RESULT,RESULT_UNITS,PQL,PQL_UNITS,RESULT_SEQ,SAMPLE_SEQ,GROUND_ELEVATION,REFERENCE_ELEVATION,TOP_ELEV,BOTTOM_ELEV
1013085,FSB105DR,436509.61,3681627.72,33.2735423683,-81.6817434527,2006-02-26 00:00:00,2006-01-30 00:00:00,2006-02-26 00:00:00,2006,CESIUM-137,1.88,pCi/L,12.1,pCi/L,29792297,29726880,283.60000000000002,286.26999999999998,211.26999999999998,191.16999999999999
28079297,FSB112DR,436442.132,3681193.707,33.26962376,-81.68243752,2006-02-26 00:00:00,2006-01-30 00:00:00,2006-02-26 00:00:00,2006,CESIUM-137,1.48,pCi/L,12.1,pCi/L,29792254,29726917,226.65000000000001,230.03999999999999,180,169.99000000000001
1013109,FSB117D,436881.7,3681450.94,33.271969725,-81.6777359715,2006-02-26 00:00:00,2006-01-30 00:00:00,2006-02-26 00:00:00,2006,CESIUM-137,0.248,pCi/L,14.8,pCi/L,29792191,29726902,228.69999999999999,230.90000000000001,211.90000000000001,191.90000000000001
1013109,FSB117D,436881.7,3681450.94,33.271969725,-81.6777359715,2007-02-14 00:00:00,2007-02-05 00:00:00,2007-02-14 00:00:00,2007,CESIUM-137,1.51,pCi/L,18.6,pCi/L,30745861,30654296,228.69999999999999,230.90000000000001,211.90000000000001,191.90000000000001
1013109,FSB117D,436881.7,3681450.94,33.271969725,-81.6777359715,2007-02-14 00:00:00,2007-02-05 00:00:00,2007-02-14 00:00:00,2007,CESIUM-137,-3.01,pCi/L,18.9,pCi/L,30745863,30654296,228.69999999999999,230.90000000000001,211.90000000000001,191.90000000000001
1013114,FSB120D,436287.06,3681582.78,33.2731238996,-81.6841298283,2007-01-28 00:00:00,2007-01-23 00:00:00,2007-01-28 00:00:00,2007,CESIUM-137,-4.12,pCi/L,22.3,pCi/L,30751966,30631104,278.5,280.61000000000001,218.61000000000001,198.61000000000001
28661814,FSB131D,436736.59,3681261.453,33.27025212,-81.67928077,2007-01-29 00:00:00,2007-01-23 00:00:00,2007-01-29 00:00:00,2007,CESIUM-137,0.832,pCi/L,17,pCi/L,30751968,30631118,226.09,229.05000000000001,201.03,191.03
6163068,FM-2BD,437272,3681341,33.27100088,-81.67353774,2007-03-13 00:00:00,2007-03-07 00:00:00,2007-03-13 00:00:00,2007,CESIUM-137,11.4,pCi/L,23.8,pCi/L,30774046,30658194,,,,
6163094,FMC-002F,436753.848,3680850.058,33.2665425,-81.67906676,2007-03-07 00:00:00,2007-03-05 00:00:00,2007-03-07 00:00:00,2007,CESIUM-137,1.12,pCi/L,19.1,pCi/L,30774036,30658189,,,,
6163094,FMC-002F,436753.848,3680850.058,33.2665425,-81.67906676,2007-03-07 00:00:00,2007-03-05 00:00:00,2007-03-07 00:00:00,2007,CESIUM-137,4.19,pCi/L,21,pCi/L,30774035,30658189,,,,
6163078,FM-A7U,436076.9,3680389,33.26234403,-81.6863021,2007-03-07 00:00:00,2007-03-05 00:00:00,2007-03-07 00:00:00,2007,CESIUM-137,-2.67,pCi/L,17.5,pCi/L,30774030,30658198,,,,
6163094,FMC-002F,436753.848,3680850.058,33.2665425,-81.67906676,2007-06-21 00:00:00,2007-06-11 00:00:00,2007-06-21 00:00:00,2007,CESIUM-137,0.938,pCi/L,18.3,pCi/L,30976652,30814170,,,,
6163094,FMC-002F,436753.848,3680850.058,33.2665425,-81.67906676,2007-06-21 00:00:00,2007-06-11 00:00:00,2007-06-21 00:00:00,2007,CESIUM-137,2.36,pCi/L,19.8,pCi/L,30976653,30814170,,,,
