STATION_SEQ,STATION_ID,EASTING,NORTHING,LATITUDE,LONGITUDE,ANALYSIS_DATE,COLLECTION_DATE,MDATE,MYEAR,ANALYTE_NAME,RESULT,RESULT_UNITS,PQL,PQL_UNITS,RESULT_SEQ,SAMPLE_SEQ,GROUND_ELEVATION,REFERENCE_ELEVATION,TOP_ELEV,BOTTOM_ELEV
1013091,FSB109D,436561.94,3681891.12,33.2759212146,-81.6812000302,1993-12-14 00:00:00,1993-11-16 00:00:00,1993-12-14 00:00:00,1993,IODINE-129,2,pCi/L,2,pCi/L,23582593,15283336,290.80000000000001,293.30000000000001,228.30000000000001,208.30000000000001
1013108,FSB116D,437157.74,3681145.72,33.2692328757,-81.6747509839,1993-08-30 00:00:00,1993-08-22 00:00:00,1993-08-30 00:00:00,1993,IODINE-129,2,pCi/L,2,pCi/L,23582972,15257164,200.90000000000001,203.09999999999999,198.59999999999999,188.59999999999999
1013109,FSB117D,436881.7,3681450.94,33.271969725,-81.6777359715,1993-09-03 00:00:00,1993-08-21 00:00:00,1993-09-03 00:00:00,1993,IODINE-129,93,pCi/L,2,pCi/L,23582953,15257152,228.69999999999999,230.90000000000001,211.90000000000001,191.90000000000001
1013089,FSB107D,436846.54,3681842.5,33.2754993891,-81.678140782,1993-11-03 00:00:00,1993-08-08 00:00:00,1993-11-03 00:00:00,1993,IODINE-129,22.7,pCi/L,2,pCi/L,23582832,15256082,268.69999999999999,271.19999999999999,223.39999999999998,203.39999999999998
1013030,FSB 76,436732.48,3682122.94,33.2780221625,-81.6793850732,1993-10-19 00:00:00,1993-08-02 00:00:00,1993-10-19 00:00:00,1993,IODINE-129,2,pCi/L,2,pCi/L,23582863,15255830,292,294.39999999999998,229.39999999999998,199.39999999999998
1013090,FSB108D,436650.39,3682108.07,33.2778832202,-81.6802654854,1993-08-30 00:00:00,1993-08-12 00:00:00,1993-08-30 00:00:00,1993,IODINE-129,2,pCi/L,2,pCi/L,23582973,15256866,295.80000000000001,298.19999999999999,226.19999999999999,206.19999999999999
1013110,FSB118D,436963.66,3681747.11,33.2746458614,-81.6768765867,1993-08-28 00:00:00,1993-08-21 00:00:00,1993-08-28 00:00:00,1993,IODINE-129,2,pCi/L,2,pCi/L,23582984,15257134,241.30000000000001,243.40000000000001,213.40000000000001,193.40000000000001
1013082,FSB104D,436615.14,3681179.56,33.2695063444,-81.6805790096,1993-09-03 00:00:00,1993-08-22 00:00:00,1993-09-03 00:00:00,1993,IODINE-129,44.2,pCi/L,2,pCi/L,23582958,15257206,216.90000000000001,219.40000000000001,212.90000000000001,192.90000000000001
1013108,FSB116D,437157.74,3681145.72,33.2692328757,-81.6747509839,1993-08-28 00:00:00,1993-08-22 00:00:00,1993-08-28 00:00:00,1993,IODINE-129,2,pCi/L,2,pCi/L,23582971,15257164,200.90000000000001,203.09999999999999,198.59999999999999,188.59999999999999
1013095,FSB111D,436899.85,3681958.82,33.2765516724,-81.6775764793,1993-08-31 00:00:00,1993-08-20 00:00:00,1993-08-31 00:00:00,1993,IODINE-129,2,pCi/L,2,pCi/L,23582978,15257062,274.39999999999998,276.80000000000001,224.10000000000002,204.10000000000002
1013054,FSB 91D,436791.03,3681813.55,33.2752350182,-81.6787347906,1993-11-03 00:00:00,1993-08-08 00:00:00,1993-11-03 00:00:00,1993,IODINE-129,22.7,pCi/L,2,pCi/L,23582838,15256094,276.89999999999998,279.69,223.69,203.69
1013095,FSB111D,436899.85,3681958.82,33.2765516724,-81.6775764793,1993-11-16 00:00:00,1993-10-29 00:00:00,1993-11-16 00:00:00,1993,IODINE-129,2,pCi/L,2,pCi/L,23582693,15282652,274.39999999999998,276.80000000000001,224.10000000000002,204.10000000000002
1013035,FSB 78,436677.96,3681564.05,33.272977989,-81.6799314135,1993-12-01 00:00:00,1993-11-03 00:00:00,1993-12-01 00:00:00,1993,IODINE-129,157,pCi/L,2,pCi/L,23582671,15282730,270.69999999999999,272.69999999999999,219.69999999999999,189.69999999999999
1013050,FSB 89D,436825.82,3681967.27,33.2766235528,-81.6783719628,1993-12-05 00:00:00,1993-11-07 00:00:00,1993-12-05 00:00:00,1993,IODINE-129,190,pCi/L,2,pCi/L,23582646,15282858,278.89999999999998,281.61000000000001,224.61000000000001,204.61000000000001
1013061,FSB 94DR,436658.67,3681589.61,33.2732073975,-81.6801403179,1993-12-03 00:00:00,1993-11-04 00:00:00,1993-12-03 00:00:00,1993,IODINE-129,149,pCi/L,2,pCi/L,23582649,15282752,278.39999999999998,281.26999999999998,206.26999999999998,186.16999999999999
1013119,FSB123D,437100.86,3681796.02,33.2750950238,-81.6754068355,1993-11-18 00:00:00,1993-10-31 00:00:00,1993-11-18 00:00:00,1993,IODINE-129,2,pCi/L,2,pCi/L,23582684,15282690,236.09999999999999,238.30000000000001,216.30000000000001,196.30000000000001
1013034,FSB 77,436747.53,3681752.41,33.2746810077,-81.6791975931,1993-12-01 00:00:00,1993-11-02 00:00:00,1993-12-01 00:00:00,1993,IODINE-129,189,pCi/L,2,pCi/L,23582670,15282698,271.39999999999998,273.39999999999998,218.39999999999998,188.39999999999998
1013110,FSB118D,436963.66,3681747.11,33.2746458614,-81.6768765867,1994-03-02 00:00:00,1994-02-15 00:00:00,1994-03-02 00:00:00,1994,IODINE-129,1.34,pCi/L,2,pCi/L,18403791,15287350,241.30000000000001,243.40000000000001,213.40000000000001,193.40000000000001
1013095,FSB111D,436899.85,3681958.82,33.2765516724,-81.6775764793,1994-03-02 00:00:00,1994-02-15 00:00:00,1994-03-02 00:00:00,1994,IODINE-129,0.605,pCi/L,2,pCi/L,18403794,15287314,274.39999999999998,276.80000000000001,224.10000000000002,204.10000000000002
1013104,FSB114D,437042.39,3682023.28,33.2771414103,-81.6760504428,1994-03-01 00:00:00,1994-02-14 00:00:00,1994-03-01 00:00:00,1994,IODINE-129,-0.434,pCi/L,2,pCi/L,18403819,15287344,250.19999999999999,252.40000000000001,220,199.90000000000001
1013111,FSB119D,436814.81,3681601.74,33.2733259665,-81.6784646816,1994-02-28 00:00:00,1994-02-14 00:00:00,1994-02-28 00:00:00,1994,IODINE-129,81.2,pCi/L,2,pCi/L,18403790,15287354,252.09999999999999,254.30000000000001,215.30000000000001,195.30000000000001
1013098,FSB112D,436433.73,3681182.62,33.2695232666,-81.6825269486,1994-03-07 00:00:00,1994-02-16 00:00:00,1994-03-07 00:00:00,1994,IODINE-129,82.8,pCi/L,2,pCi/L,18403753,15287326,227.59999999999999,230.38999999999999,211.69,191.69
1013093,FSB110D,436774.62,3681419.31,33.2716781612,-81.6788834706,1994-03-08 00:00:00,1994-02-16 00:00:00,1994-03-08 00:00:00,1994,IODINE-129,261,pCi/L,2,pCi/L,18403755,15287304,232.59999999999999,234.69999999999999,213.19999999999999,193.19999999999999
1013093,FSB110D,436774.62,3681419.31,33.2716781612,-81.6788834706,1994-03-08 00:00:00,1994-02-16 00:00:00,1994-03-08 00:00:00,1994,IODINE-129,255,pCi/L,2,pCi/L,18403756,15287304,232.59999999999999,234.69999999999999,213.19999999999999,193.19999999999999
1014757,FSB121DR,436180.98,3681348.47,33.2710042414,-81.6852523038,1994-03-09 00:00:00,1994-02-15 00:00:00,1994-03-09 00:00:00,1994,IODINE-129,1.28,pCi/L,2,pCi/L,18403785,15287374,253.65000000000001,256.51999999999998,214.51999999999998,194.51999999999998
1013114,FSB120D,436287.06,3681582.78,33.2731238996,-81.6841298283,1994-03-02 00:00:00,1994-02-15 00:00:00,1994-03-02 00:00:00,1994,IODINE-129,-0.321,pCi/L,2,pCi/L,18403787,15287366,278.5,280.61000000000001,218.61000000000001,198.61000000000001
1013117,FSB122D,436355.5,3680990.67,33.2677873367,-81.6833533875,1994-03-09 00:00:00,1994-02-16 00:00:00,1994-03-09 00:00:00,1994,IODINE-129,0.522,pCi/L,2,pCi/L,18403783,15287382,215.59999999999999,217.80000000000001,208.80000000000001,188.80000000000001
1013073,FSB 98D,436555.87,3681704.28,33.2742356329,-81.6812521179,1994-02-28 00:00:00,1994-02-14 00:00:00,1994-02-28 00:00:00,1994,IODINE-129,34.9,pCi/L,2,pCi/L,18403808,15287232,282.30000000000001,284.60000000000002,222.60000000000002,202.60000000000002
1013076,FSB 99D,436551.56,3681821.67,33.2752941917,-81.6813066187,1994-03-03 00:00:00,1994-02-15 00:00:00,1994-03-03 00:00:00,1994,IODINE-129,0.414,pCi/L,2,pCi/L,18403804,15287244,285.10000000000002,287.80000000000001,220.80000000000001,200.80000000000001
1013089,FSB107D,436846.54,3681842.5,33.2754993891,-81.678140782,1994-03-02 00:00:00,1994-02-15 00:00:00,1994-03-02 00:00:00,1994,IODINE-129,79.4,pCi/L,2,pCi/L,18403797,15287296,268.69999999999999,271.19999999999999,223.39999999999998,203.39999999999998
1013056,FSB 92D,436724.22,3681703.93,33.2742423689,-81.6794444909,1994-02-28 00:00:00,1994-02-13 00:00:00,1994-02-28 00:00:00,1994,IODINE-129,101,pCi/L,2,pCi/L,18403838,15288784,273.69999999999999,276.39999999999998,224.39999999999998,204.39999999999998
1013034,FSB 77,436747.53,3681752.41,33.2746810077,-81.6791975931,1994-02-24 00:00:00,1994-02-07 00:00:00,1994-02-24 00:00:00,1994,IODINE-129,121,pCi/L,2,pCi/L,18403857,15288050,271.39999999999998,273.39999999999998,218.39999999999998,188.39999999999998
1013101,FSB113D,437017.23,3681581.41,33.2731544403,-81.6762898712,1994-02-22 00:00:00,1994-02-10 00:00:00,1994-02-22 00:00:00,1994,IODINE-129,-0.355,pCi/L,2,pCi/L,18403822,15288832,220.59999999999999,222.59999999999999,211.59999999999999,191.59999999999999
1013058,FSB 93D,436726.51,3681646.31,33.2737227929,-81.6794158776,1994-02-25 00:00:00,1994-02-09 00:00:00,1994-02-25 00:00:00,1994,IODINE-129,55.6,pCi/L,2,pCi/L,18403836,15288792,273.89999999999998,276.55000000000001,220.55000000000001,200.55000000000001
1013050,FSB 89D,436825.82,3681967.27,33.2766235528,-81.6783719628,1994-02-21 00:00:00,1994-02-08 00:00:00,1994-02-21 00:00:00,1994,IODINE-129,68,pCi/L,2,pCi/L,18403844,15288760,278.89999999999998,281.61000000000001,224.61000000000001,204.61000000000001
1013039,FSB 79,436869.23,3681288.35,33.2705024942,-81.6778585296,1994-02-28 00:00:00,1994-02-07 00:00:00,1994-02-28 00:00:00,1994,IODINE-129,108,pCi/L,2,pCi/L,18403855,15288062,216.09999999999999,218,206,176
1013070,FSB 97D,436555.16,3681634.79,33.2736088181,-81.6812548738,1994-02-28 00:00:00,1994-02-09 00:00:00,1994-02-28 00:00:00,1994,IODINE-129,53.1,pCi/L,2,pCi/L,18403828,15288820,283.89999999999998,286.19999999999999,219.19999999999999,199.19999999999999
1013039,FSB 79,436869.23,3681288.35,33.2705024942,-81.6778585296,1993-11-22 00:00:00,1993-10-31 00:00:00,1993-11-22 00:00:00,1993,IODINE-129,117,pCi/L,2,pCi/L,23582660,15282676,216.09999999999999,218,206,176
1013114,FSB120D,436287.06,3681582.78,33.2731238996,-81.6841298283,1993-12-15 00:00:00,1993-11-16 00:00:00,1993-12-15 00:00:00,1993,IODINE-129,2,pCi/L,2,pCi/L,23582587,15283352,278.5,280.61000000000001,218.61000000000001,198.61000000000001
1013106,FSB115D,436975.69,3680929.11,33.2672685094,-81.6766905079,1993-12-15 00:00:00,1993-11-16 00:00:00,1993-12-15 00:00:00,1993,IODINE-129,2,pCi/L,2,pCi/L,23582591,15283376,206.5,208.69999999999999,194.69999999999999,184.69999999999999
1013109,FSB117D,436881.7,3681450.94,33.271969725,-81.6777359715,1993-12-08 00:00:00,1993-11-11 00:00:00,1993-12-08 00:00:00,1993,IODINE-129,86.5,pCi/L,2,pCi/L,23582603,15283184,228.69999999999999,230.90000000000001,211.90000000000001,191.90000000000001
1014757,FSB121DR,436180.98,3681348.47,33.2710042414,-81.6852523038,1993-12-17 00:00:00,1993-11-16 00:00:00,1993-12-17 00:00:00,1993,IODINE-129,3.77,pCi/L,2,pCi/L,23582588,15283340,253.65000000000001,256.51999999999998,214.51999999999998,194.51999999999998
1013090,FSB108D,436650.39,3682108.07,33.2778832202,-81.6802654854,1993-12-23 00:00:00,1993-12-07 00:00:00,1993-12-23 00:00:00,1993,IODINE-129,2,pCi/L,2,pCi/L,23582559,15284932,295.80000000000001,298.19999999999999,226.19999999999999,206.19999999999999
1013098,FSB112D,436433.73,3681182.62,33.2695232666,-81.6825269486,1993-12-22 00:00:00,1993-11-15 00:00:00,1993-12-22 00:00:00,1993,IODINE-129,109,pCi/L,2,pCi/L,23582576,15283296,227.59999999999999,230.38999999999999,211.69,191.69
1013101,FSB113D,437017.23,3681581.41,33.2731544403,-81.6762898712,1993-12-13 00:00:00,1993-11-15 00:00:00,1993-12-13 00:00:00,1993,IODINE-129,2,pCi/L,2,pCi/L,23582580,15283316,220.59999999999999,222.59999999999999,211.59999999999999,191.59999999999999
1013110,FSB118D,436963.66,3681747.11,33.2746458614,-81.6768765867,1993-12-14 00:00:00,1993-11-15 00:00:00,1993-12-14 00:00:00,1993,IODINE-129,2,pCi/L,2,pCi/L,23582597,15283312,241.30000000000001,243.40000000000001,213.40000000000001,193.40000000000001
1013085,FSB105DR,436509.61,3681627.72,33.2735423683,-81.6817434527,1993-12-08 00:00:00,1993-11-11 00:00:00,1993-12-08 00:00:00,1993,IODINE-129,76.5,pCi/L,2,pCi/L,23582584,15283164,283.60000000000002,286.26999999999998,211.26999999999998,191.16999999999999
1013093,FSB110D,436774.62,3681419.31,33.2716781612,-81.6788834706,1993-12-08 00:00:00,1993-11-11 00:00:00,1993-12-08 00:00:00,1993,IODINE-129,548,pCi/L,2,pCi/L,23582604,15283172,232.59999999999999,234.69999999999999,213.19999999999999,193.19999999999999
