UWI,UTM_E,UTM_N,GRD_ELEV_FT,Barnwell_top,TCCZ_top,TCCZ_bottom,TCCZ_th_ft,Santee_top,MFS_top
HSBTB,439205.2,3682509,267.1,NA,207,190.1,16.9,160,107.1
HSL6AA,439609.26,3682917.17,274.6,240,174,168.6,5.4,160,122.6
HSL8AA,439740.15,3683026.32,286.7,260,193,185.7,7.3,170,128.263
OFS1SB,437594.34,3682308.01,261.6,245.6,196,185.6,10.4,148.6,126.091
OFS2SB,437602.03,3682201.67,257.5,222,194.5,187.5,7,152,123.665
OFS3SB,437854.02,3682233.97,258.1,NA,196,185.1,10.9,165,120.632
OFS4SB,438075.06,3682245.63,258.7,228.7,196,191.7,4.3,147,123.463
OFS5SB,437900.82,3682024.19,228.7,NA,189,177.7,11.3,136,120.025
P27TA,440877.77,3682969.73,274.1,260,180,169.1,10.9,158,126.8
P28TA,437167.19,3683623.85,285.6,265.6,215,210.6,4.4,169,140.499
YSC1A,439853.31,3685110.18,268.9,251,210,198.9,11.1,189,148
YSC1C,439929.71,3685220.93,272.5,254,215,212.5,2.5,185,160
YSC2A,439967.5,3685295.66,281.7,259,220,214.7,5.3,192,154.218
YSC4A,440140.34,3684946.07,287.5,249,223,213.5,9.5,187,148
YSC5A,440942.53,3684491.99,273,246,221,209,12,175,132
