STATION_SEQ|SITE_ID|STATION_ID|STATION_TYPE|STATION_STATUS_CODE|GRID_PLANE|COORDINATE_STATUS_CODE|NORTHING|EASTING|PLANIMETRIC_UNITS|LONGITUDE|LATITUDE|GROUND_ELEVATION|REFERENCE_ELEVATION|ELEVATION_UNITS|REFERENCE_ELEVATION_CODE|TOP_DEPTH|BOTTOM_DEPTH|DEPTH_UNITS|INSTALLATION_DATE|ISINDOMAIN|ISINDOMAIN2|ISINDOMAIN3|AQUIFER|TOP_ELEV|BOTTOM_ELEV
32034983|19|IP-2|INJECTION WELL||UTM|A|3681895.7|436812.01|m|-81.67851525|33.27597721|276.25|275.75|ft|S|68|88|ft|2009-06-08||True|True|D|207.75|187.75
32034984|19|PMW-1|MONITORING WELL||UTM|A|3681904.2|436810.032|m|-81.67853709|33.27605376|276.75999999999999|276.20999999999998|ft|S|68|88|ft|2009-05-28||True|True|D|208.20999999999998|188.20999999999998
32034985|19|PMW-2|MONITORING WELL||UTM|A|3681896.783|436807.501|m|-81.67856375|33.27598672|276.70999999999998|276.29000000000002|ft|S|68|88|ft|2009-05-29||True|True|D|208.29000000000002|188.29000000000002
32034986|19|PMW-3|MONITORING WELL||UTM|A|3681894.326|436816.401|m|-81.67846801|33.27596508|275.99000000000001|278.38|ft|S|68|88|ft|2009-06-02||True|True|D|210.38|190.38
32034987|19|PMW-4|MONITORING WELL||UTM|A|3681886.214|436813.789|m|-81.67849549|33.27589175|276.82999999999998|279.36000000000001|ft|S|68|88|ft|2009-06-01||True|True|D|211.36000000000001|191.36000000000001
32034988|19|PMW-5|MONITORING WELL||UTM|A|3681881.306|436807.125|m|-81.6785667|33.27584709|276.26999999999998|278.75|ft|S|68|88|ft|2009-05-29||True|True|D|210.75|190.75
32035003|19|PMW-6|MONITORING WELL||UTM|A|3681883.794|436821.354|m|-81.67841409|33.27587037|275.69999999999999|278.22000000000003|ft|S|68|88|ft|2009-05-27||True|True|D|210.22000000000003|190.22000000000003
32035004|19|PMW-7|MONITORING WELL||UTM|A|3681867.339|436817.771|m|-81.67845142|33.27572174|276.56999999999999|279.06|ft|S|65|85|ft|2009-05-27||True|True|D|214.06|194.06
32056325|19|FIB027R|INJECTION WELL|ACTIVE|UTM|A|3681425.162|436953.198|m|-81.67696651|33.2717414|216.78999999999999|216.78999999999999|ft|G|19|39|ft|2009-06-25||True|True|D|197.78999999999999|177.78999999999999
32058587|19|FIB028R|INJECTION WELL|ACTIVE|UTM|A|3681433.458|436966.06|m|-81.67682899|33.27181698|215.58000000000001|215.58000000000001|ft|G|19|39|ft|2009-06-24||True|True|D|196.58000000000001|176.58000000000001
32058588|19|FIB029R|INJECTION WELL|ACTIVE|UTM|A|3681438.949|436979.841|m|-81.6766814|33.27186731|213.65000000000001|213.65000000000001|ft|G|20.199999999999999|40.200000000000003|ft|2009-06-24||True|True|D|193.45000000000002|173.44999999999999
1017281|19|Z    4*|PIEZOMETER WELL|ABANDONED|UTM||3682929.8|436133.14|m|-81.6858774771|33.2852643729|278|279.69999999999999|ft|C||||||False|True|D||
1017282|19|Z    5*|PIEZOMETER WELL|ABANDONED|UTM||3682700.62|436488.79|m|-81.6820422468|33.2832182781|301|303.80000000000001|ft|C||||||False|True|D||
1017283|19|Z    7*|PIEZOMETER WELL|ABANDONED|UTM||3682538.08|436719.05|m|-81.6795582922|33.2817657748|289.10000000000002|291|ft|C||||||False|True|D||
1017284|19|Z    9*|PIEZOMETER WELL|ABANDONED|UTM||3682367.99|436245.68|m|-81.6846294033|33.2802037372|278.69999999999999|281.69999999999999|ft|C||||||True|True|D||
1017285|19|Z   19*|PIEZOMETER WELL|ABANDONED|UTM||3680393.57|435089.72|m|-81.6969004773|33.2623262943|261.69999999999999|263.80000000000001|ft|C||||||True|True|D||
1017286|19|Z   20*|PIEZOMETER WELL|ABANDONED|UTM||3680240.41|435213.42|m|-81.6955615255|33.260952288|241|243.59999999999999|ft|C||||||True|True|D||
1025693|19|FHB-023|SEEPLINE|ACTIVE|UTM||3681660.23|437659.21|m|-81.6694023209|33.2739026762|||ft|G||||||False|True|D||
1025694|19|FHB-024|SEEPLINE|ACTIVE|UTM||3682001.06737|437701.3148|m|-81.6689736802|33.2769793385|251.19999999999999|251.19999999999999|ft|G||||||False|True|D||
1025709|19|FHB-24|SURFACE WATER|ACTIVE|UTM|L|3682001.06737|437701.3148|m|-81.6689736802|33.2769793385|251.19999999999999|251.19999999999999|ft|G||||||False|True|D||
1025795|19|FSP-002|SEEPLINE|ACTIVE|UTM||3680894.22|436776.72|m|-81.6788242793|33.2669421689|||ft|G||||||True|True|D||
1025796|19|FSP-007|SEEPLINE|ACTIVE|UTM||3681019.43|436838.97|m|-81.6781646743|33.2680751641|||ft|G||||||True|True|D||
