"","STATION_ID","EASTING","NORTHING","SurfaceElevation","TCCZ_top","TCCZ_bot","TCCZ_th_ft"
"94","BGT7",438308.997603138,3683864.63254637,276.4,212,199,13
"95","BGT8",438274.485442422,3684006.73868569,249.3,221,217,4
"96","BGT9",438237.064587134,3684160.71032516,226,210,205,5
"97","BGX11D",438901.530835493,3683384.96916644,273.8,193,177,16
"98","BGX1A",438382.792599704,3683584.45465941,289.1,211,198,13
"99","BGX2B",438233.924503089,3683616.10714178,289.2,216,198,18
"100","BGX4A",437856.304795188,3683595.92584138,288.8,225,213,12
"101","BGX7D",438042.297087944,3683908.49837139,277.1,225,220,5
"102","BGX9D",438593.659960356,3683777.1944047,277.4,207,202,5
"103","BPC1",432582.485811504,3682974.74259506,281.5,193,186,7
"104","BRR1D",436315.814233492,3682280.79996874,293.8,195,NA,NA
"105","BRR3D",436215.107055805,3682219.96543528,289.5,208,194,14
"106","BRR6B",436497.597376072,3682296.06481471,293.9,178,166,12
"107","BRR7B",436307.508254128,3682353.97741581,289.6,202,190,12
"108","BRR8B",436151.280331939,3682262.60124041,276.7,205,200,5
"109","CPC1",437361.812731646,3679081.26042192,285.1,166,156,10
"110","FAC1SB",437323.941355007,3683305.93265352,312,224,217,7
"111","FCH1",436490.479990883,3683208.33437437,316.8,214,202,12
"112","FCH2",436607.816017971,3682921.06570878,288.7,213,197,16
"113","FCH3",436560.63922479,3682720.5946026,307.2,207,196,11
"114","FCH4",436642.008422528,3682574.54652242,297.5,197,187,10
"115","FCH5",436648.643276615,3682382.47020233,284.2,196,191,5
"116","FCH6",436649.029211658,3682163.47613127,291.5,189,182,7
"117","FIW1MC",436719.749393322,3682122.6057988,293.3,190,185,5
"118","FIW2MA",436719.947783065,3682034.36782706,290.5,189,180,9
"119","FNB1A",436727.249356851,3683631.58364635,282.4,208,202,6
"120","FNB3A",436612.610541519,3683699.90877088,282.2,211,208,3
"121","FSB100A",436735.335153478,3681896.1670258,283.8,185,183,2
"122","FSB101A",436759.605570411,3681983.40990566,282.9,191,183,8
"123","FSB112A",436439.522793743,3681189.73326965,227,164,144,20
"124","FSB113A",437007.489312153,3681579.10099368,221.3,178,171,7
"125","FSB114A",437045.916217567,3682032.93000295,250,178,173,5
"126","FSB115C",436975.582090569,3680933.23997114,205.8,181,165,16
"127","FSB116C",437162.077172717,3681148.14754935,200.5,176,171,5
"128","FSB120A",436295.358017096,3681577.58153084,278,181,165,16
"129","FSB121C",436176.210824407,3681346.42128343,254.4,173,162,11
"130","FSB122C",436350.933174063,3680993.48116509,216,164,148,16
"131","FSB123C",437104.009826857,3681799.82049676,236.3,183,172,11
"132","FSB1TA",436887.1868771,3682049.9376557,275.4,191,187,4
"133","FSB76A",436734.903356718,3682121.04876657,291.5,NA,NA,NA
"134","FSB87A",436515.690630534,3681761.64188801,285.6,176,173,3
"135","FSB98A",436555.12,3681710.48,280.7,172,160,12
"136","FSB78A",436681.089179638,3681563.94260471,270.5,163,147,16
"137","FSB89C",436827.25231759,3681970.16382921,279.1,186,180,6
"138","FSB91C",436791.711662713,3681816.18464247,277,168,161,7
"139","FSB93C",436726.387622905,3681649.53247147,274,166,151,15
"140","FSB95C",436604.256638905,3681588.66832333,281.8,174,158,16
